business_id,BusinessName,City,PostalCd,latitude,longitude,StarRating,NumReviews,Close-Open,Categories
xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,Goleta,93117,34.4290427,-119.8693616,2.5,94,1,"Chicken Wings, Salad, Restaurants, Pizza, Italian, Sandwiches"
V4lqQdll3_TAEtkrHDYbAA,Italia Pizza & Pasta,Goleta,93117,34.4427601,-119.8306695,3.5,24,0,"Italian, Pizza, Food, Restaurants, Beer, Wine & Spirits"
j-lxie7nEh3UeUTpiqekkQ,Presto Pasta,Santa Barbara,93103,34.4242779,-119.6833015,3,8,0,"Italian, Restaurants"
uI15YInpDsGBUZcNfm_TfQ,Borrello's Pizza & Pastaria,Carpinteria,93013,34.4063061,-119.5476647,4,169,0,"Restaurants, French, Italian, Pizza"
lq7dE9c10OvRfd_edJoyMg,Due Lune Cucina,Santa Barbara,93101,34.412192,-119.689592,4,79,0,"Restaurants, Italian"
aY_n9RSaD2Yw09jSFFePew,PizzaMan Dan's,Carpinteria,93013,34.3969589,-119.5210632,4,124,1,"Chicken Wings, Restaurants, Beer, Wine & Spirits, Sandwiches, Food, Pizza, Italian"
-3AooxIkg38UyUdlz5oXdw,Chase Restaurant,Santa Barbara,93101,34.421931,-119.7021852,3,436,1,"Event Planning & Services, Restaurants, Nightlife, Caterers, Italian, Bars"
vsrryxBR2Jykl71qa1H6SQ,Caffe Primo,Santa Barbara,93108,34.4173624,-119.6959549,4,114,0,"Tapas/Small Plates, Nightlife, Pubs, American (New), Wine Bars, Restaurants, Italian, Coffee & Tea, Bars, Food"
S3QHy1sshUeZwXOYviVsXQ,Tre Lune,Montecito,93108,34.4209378,-119.646244,4,262,1,"Food, Italian, Restaurants"
9xW7LsJpyhVZFRb6z9xorg,Ca' Dario Goleta,Goleta,93117,34.4295404,-119.8692712,4,172,1,"Pizza, Nightlife, Italian, Bars, Restaurants, Wine Bars"
kdowTW3-5Qcr8je9LgItKQ,Little Dom's Seafood,Carpinteria,93013,34.3967319,-119.5206269,4,95,1,"Restaurants, American (New), Seafood, Italian, Pizza"
1J0NIfmrSuV72KzhmYFxMA,Pane E Vino,Montecito,93108,34.438305,-119.633186,4,77,1,"Restaurants, Italian"
z6I4QVP1M1HXETgwD92XHg,Olio E Limone Ristorante,Santa Barbara,93101,34.42299711,-119.7045224,4,488,1,"Restaurants, Italian"
MX2YGruhd0sMNHZGK7p5-Q,Bella Vista,Santa Barbara,93108,34.417214,-119.642527,4,261,1,"Restaurants, American (New), Italian, Breakfast & Brunch, Seafood"
2QvkOHC-pWGiAmvQ9xX64Q,Nardonne's La Famiglia Pizzeria,Santa Barbara,93101,34.41809541,-119.6985309,4.5,92,0,"Pizza, Restaurants, Beer, Wine & Spirits, Italian, Food, Sandwiches"
XyYsl2OyoMi6OMvzsdcVoQ,MIZZA,Santa Barbara,93101,34.422807,-119.703594,4,380,1,"Restaurants, Salad, Sandwiches, Italian, Pizza"
MmN1qpG224QxOeq72DpN2g,Aldo's Italian Restaurant,Santa Barbara,93101,34.42208835,-119.7029964,3,311,0,"Italian, Restaurants"
RsjgvZO_0aLsg9YxvtBwpg,Pizza Hut,Goleta,93117,34.4413305,-119.828411,2,47,0,"Restaurants, Pizza, Chicken Wings, American (New), Italian"
IXQH9-nnTWZFgBF0V3MH-A,Cali-Forno Pizzeria,Santa Barbara,93101,34.4206139,-119.7009473,4,16,1,"Sandwiches, Pizza, Restaurants, Italian"
3xJ_6qxRA0sdUm3ThCPiCw,Giannfranco's Trattoria,Carpinteria,93013,34.3966511,-119.5207933,4,271,1,"Italian, Restaurants"
b2Za53CjptGyf9K0fFnrAg,Petrini's Italian Restaurant - Santa Barbara,Santa Barbara,93105,34.43980386,-119.7283962,4,233,1,"Restaurants, Pizza, Italian"
z-9_8ot2TnKL9DX4k3MYMQ,Palazzio,Santa Barbara,93101,34.422294,-119.702545,3,345,0,"Restaurants, Pizza, Italian"
KMBCvNByuzXlPoNzHeBhZw,6831 AA Hollister Ave,Goleta,93117,34.4295129,-119.8692707,3,17,0,"Delis, Vegetarian, Restaurants, Italian, Local Flavor"
0nR7jHCkFEzmA1n2b5g1nw,Basil's Italian,Santa Barbara,93101,34.4193295,-119.6959723,4.5,64,0,"Sandwiches, Delis, Pizza, Italian, Restaurants"
o4IiNbNybcy-L4vzTSoDJw,Ca' Dario,Santa Barbara,93101,34.42539135,-119.7048108,4,672,1,"Tuscan, Seafood, Wine Bars, Restaurants, Bars, Nightlife, Italian"
S4ujTsHtCOsHKrKkcjY30Q,Coast & Olive,Montecito,93108,34.4214049,-119.6406658,4.5,121,1,"French, American (New), Restaurants, Italian"
j8c8WFqySY1eybnkJfgjSg,The Revere Room,Montecito,93108,34.42093307,-119.6286405,4,22,1,"Restaurants, Tapas/Small Plates, Bars, Cocktail Bars, American (New), Italian, Vegetarian, Nightlife"
UjgqSqa4Biy34pHSEdwj_g,Gino's Sicilian Express,Santa Barbara,93101,34.4221006,-119.7037011,4,253,1,"Italian, Salad, Pizza, Restaurants, Sandwiches"
NTLvzcGNm4IUF_yXIwIhvA,Thario's Kitchen,Carpinteria,93013,34.40620781,-119.5477163,4.5,131,1,"Pizza, Italian, Restaurants"
2YoQRByvTjdP4GSVnPcANA,Pastavino,Goleta,93117,34.42962908,-119.8703778,3,50,0,"Italian, Restaurants, Pizza"
SAQgO7Ij2cdnMp8VQKBffA,Emilios Ristorante & Bar,Santa Barbara,93101,34.4085635,-119.6933724,3.5,49,0,"Italian, Restaurants"
fKrmWy4GFsrgdOYhN9pyZA,Trattoria Vittoria,Santa Barbara,93101,34.4248824,-119.7047448,4,334,1,"Italian, Restaurants"
ZrxlfdFU_qpnIHI2DmoRxA,Mesa Pizza,Santa Barbara,93109,34.4005756,-119.7227184,4,176,1,"Pizza, Restaurants, Italian, Vegan, Gluten-Free, Sandwiches"
eUIsUpG6KAonYxGoExzy2Q,Costa Kitchen & Bar,Santa Barbara,93103,34.41763899,-119.6692747,5,14,1,"Italian, Restaurants, American (New), Mediterranean"
HrsWLRW7sPxjeC_hDA0Diw,Santa Barbara's Wood Fired Pizza,Santa Barbara,93105,34.4376229,-119.7262251,4,5,0,"Food, Sandwiches, Food Delivery Services, Pizza, Restaurants, Italian"
sdzD-6O7eKIYgF9WzOuasg,Max's Restaurant & Cucina,Santa Barbara,93105,34.4406445,-119.7387679,4,146,0,"Restaurants, Italian, American (Traditional), Breakfast & Brunch"
JjmmSW_QQh2Db4fuIEMATA,Persona Pizzeria,Santa Barbara,93101,34.42060882,-119.7009534,4,624,1,"Food, Italian, Pizza, Fast Food, Gelato, Chicken Wings, Sandwiches, Salad, Restaurants"
2bxZhBk8JZkJ1GqfTB0cUQ,California Pasta,Santa Barbara,93101,34.4195303,-119.7001825,3.5,287,1,"Caterers, Italian, Food Delivery Services, American (New), Event Planning & Services, Restaurants, Food"
9kfN12wVGnKo54AaRjz0vQ,Guicho's Eatery,Carpinteria,93013,34.3985357,-119.5193015,4.5,179,1,"Restaurants, Desserts, Sandwiches, Food, Italian"
lNECraPTMtUPDJPjmF0tVA,Crocodile Restaurant & Bar,Santa Barbara,93105,34.438204,-119.725019,4,119,1,"Hotels & Travel, Event Planning & Services, American (New), Italian, Hotels, Restaurants, Pizza, Breakfast & Brunch, Bars, Nightlife"
m4xrhESFLaA7PiddXeg2aw,Pierre Lafond Wine Bistro,Santa Barbara,93101,34.4173624,-119.6959549,3.5,188,0,"Bakeries, Food, Delis, Bars, Wine Bars, American (New), Local Flavor, Italian, Nightlife, Restaurants"
CziOtnFSklimJnBgksDDwA,Pascucci,Santa Barbara,93101,34.419107,-119.699243,3.5,1069,1,"Gelato, Food, Restaurants, Italian, Vegetarian, Gluten-Free"
e0DU7_0mfalr-lnyUafiag,Via Vai Trattoria Pizzeria,Montecito,93108,34.4364174,-119.6330972,3.5,147,1,"Pizza, Restaurants, Italian"
me_-zWgGZATKrljrJ-jvKA,Pasta House,Goleta,93117,34.4132919,-119.855932,3,13,0,"Restaurants, Italian"
_kJzi_k6LwtE3phJFxNOzA,Sorriso Italiano,Isla Vista,93117,34.41285039,-119.8571276,4,137,0,"Italian, Restaurants"
1kVnChI4aqsPw9i2PVqkkw,Fresco Cafe,Santa Barbara,93105,34.43941812,-119.7514181,4,278,1,"American (Traditional), Bakeries, Restaurants, Italian, Breakfast & Brunch, Food"
Y-qMi8FQYC6-wq-4wBA54Q,Carrillo Dining Commons,Isla Vista,93117,34.40995129,-119.8527449,4,7,1,"Restaurants, Italian, Asian Fusion, Breakfast & Brunch, Delis, American (New), American (Traditional)"
f7S0WFDy_J1TGahYhnoMLA,OPPIâ€™Z Bistro And Natural Pizza,Santa Barbara,93101,34.4223088,-119.7025471,4.5,170,1,"Pizza, Restaurants, Italian, Vegetarian"
x2ly0NsSTMmMpljpdIZdYA,Cadiz Restaurant & Bar,Santa Barbara,93101,34.4168335,-119.6961533,4.5,697,0,"Cocktail Bars, Restaurants, Bars, Tapas/Small Plates, American (New), Lounges, Seafood, Spanish, Italian, Nightlife, Mediterranean"
Gof3vW62_EDmqgAPTL-nKQ,Pascucci,Goleta,93117,34.42938754,-119.8701598,2,159,0,"Desserts, Food, Gluten-Free, Burgers, Restaurants, Italian"
hLUqElKTjOzpt_ZXkWVuiA,Montecito Cafe,Santa Barbara,93108,34.4212433,-119.6404617,4,104,0,"Seafood, American (New), Italian, Restaurants"
MnAn9IDCGMTXFqUqJ5P53Q,Giovanni's Pizza,Santa Barbara,93109,34.4013817,-119.7224721,3.5,83,0,"Pizza, Restaurants, Sandwiches, Italian"
6EizP0XyqITuGZ8GZMI9Lw,Toma Restaurant & Bar,Santa Barbara,93101,34.408633,-119.693496,4.5,1084,1,"American (New), Italian, Bars, Restaurants, Nightlife, Food, Beer, Wine & Spirits"
eoH4nxBTSu6kf-41pWDwJQ,Nutbelly Pizzeria and Deli,Carpinteria,93013,34.398644,-119.519186,4,253,1,"Delis, Sandwiches, Italian, Pizza, Restaurants"
ctVn7wMvJX8f4Z9SnOnrHw,The Bistro,Santa Barbara,93117,34.433341,-119.918381,3.5,243,1,"Mediterranean, Restaurants, French, Breakfast & Brunch, American (New), Seafood, Buffets, Italian"
64Rl3pT4Md4-8ckeaNVZCQ,Bucatini,Santa Barbara,93101,34.4168413,-119.6952286,3.5,280,0,"Soup, Wine Bars, Restaurants, Nightlife, Bars, Italian"
IQFb8aeU7QW-BxpFhGMnlg,Caâ€™Dario - Montecito,Montecito,93108,34.4207816,-119.6449207,4,33,1,"Seafood, Restaurants, Italian, Nightlife, Bars, Wine Bars, Pizza"
VW7GMzoQNMqTs9_cM26LLw,Zaffiro,Goleta,93117,34.435949,-119.854131,2,6,0,"Restaurants, Italian"
wX4ap0Qy5ZK6Hy2iKvBqXA,"The Pasta Shoppe, LLC",Santa Barbara,93101,34.4235962,-119.7066283,4,51,0,"Food, Desserts, Restaurants, Specialty Food, Pasta Shops, Cafes, Italian"
PZIVcSuN-G_I6oG6EVKntQ,Anchor Woodfire Kitchen,Santa Barbara,93101,34.4133151,-119.6914508,3.5,59,0,"Italian, American (New), Restaurants"
zeAfmYy9b1gfUJLRBHm6vQ,Presto Pasta,Santa Barbara,93105,34.437063,-119.725682,4,240,1,"Restaurants, Italian"
HNACff49-kXS7l0MyLOzHw,Rusty's Pizza Parlor,Santa Barbara,93111,34.43653347,-119.7910648,2.5,48,1,"Restaurants, Sandwiches, Chicken Wings, Salad, Italian, Pizza"
acqDz7WDsCS3WiLxHVceOg,CafÃ© Lido,Santa Barbara,93103,34.4178772,-119.6693964,3.5,11,1,"Italian, Cafes, Mediterranean, Restaurants"
HA_Hks9YjRqz3Yk6JDAaIQ,Bougainvillea,Santa Barbara,93101,34.4142018,-119.6916506,4.5,13,0,"Food, Restaurants, Beer, Wine & Spirits, Italian, Pizza"
I3yiknZLxXVIjYp4WmLz2w,Petrini's Restaurant,Goleta,93117,34.4411637,-119.8225584,3,73,0,"American (New), Italian, Restaurants, Pizza"
VOcGcN0bvGU_nzxbJgR5jQ,Bettina,Santa Barbara,93108,34.4225616,-119.6517163,4.5,311,1,"Restaurants, Italian, Pizza"
DOfiulOub9hVPBCtiDl9Fw,Lucky Penny,Santa Barbara,93101,34.414643,-119.690235,4,643,1,"American (New), Breakfast & Brunch, Restaurants, Salad, Italian, Nightlife, Bars, Beer, Wine & Spirits, Sandwiches, Coffee & Tea, Wine Bars, Food, Pizza"
HJ_rOClY2RPrdervYopKmQ,Mosto,Santa Barbara,93101,34.416454,-119.695668,4,96,0,"Nightlife, Bars, Tapas/Small Plates, Spanish, Restaurants, Coffee & Tea, Cafes, Food, Italian, Wine Bars, Tapas Bars, Burgers"
TCWnTa69sJ3vGQsdEe3Esw,Uncle Roccos Famous NY Pizza,Santa Barbara,93101,34.4165849,-119.6955333,2.5,317,1,"Pizza, Italian, Fast Food, Restaurants"
ByKCIpZWHYUTuCJcoZ-ONQ,Giovanni's,Goleta,93117,34.4129008,-119.8578105,4,87,0,"Salad, Sandwiches, Restaurants, Pizza, Italian"
HOXbILWYZJkNUYYzYK_tZA,Arnoldi's Cafe,Santa Barbara,93101,34.4232597,-119.691138,4,291,1,"Breakfast & Brunch, Bocce Ball, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Italian, Active Life, Food, Wedding Planning, Restaurants"
jh40gx3wcYX0NL_i2Dip-A,Sal's Pizza,Santa Barbara,93103,34.4302529,-119.6903156,3.5,80,0,"Chicken Wings, Restaurants, Italian, Pizza"
Ji3XN5gL1aBlbhtFEGpMFA,Mollie's,Santa Barbara,93101,34.42390028,-119.7049458,3.5,135,0,"Italian, Pizza, Restaurants"
i5C6RVgr03HSrgCl8oa1Fg,Patxi's Pizza,Santa Barbara,93101,34.417115,-119.696243,4,730,1,"Salad, Restaurants, Pizza, Sandwiches, Italian"
9Vrm13HIdHS41uzroVMQ2Q,Piatti Ristorante & Bar,Montecito,93108,34.437422,-119.631508,3.5,27,0,"Event Planning & Services, Italian, Venues & Event Spaces, Pizza, Restaurants"
lNkxXDcNoHBpWDNPoZesYw,Caruso's,Montecito,93108,34.4205315,-119.6281158,4,88,1,"Vegan, Restaurants, Italian"
4D7QDfPOsSPfKxBi3gs_qQ,Olio Pizzeria,Santa Barbara,93101,34.4238136,-119.7060451,4,622,1,"Pizza, Nightlife, Italian, Restaurants, Bars"
TYVln68leW7BYuVksFyB5A,Sevilla,Santa Barbara,93101,34.4155929,-119.696034,4,12,0,"Italian, American (New), Tapas Bars, Latin American, Restaurants"
54oLdsGU9B8HxFTqCCqV-A,Via Maestra 42,Santa Barbara,93105,34.44007621,-119.7363232,4.5,589,1,"Caterers, Italian, Restaurants, Delis, Event Planning & Services"
PgtqA056auCp5EbcZMbXPQ,Trattoria Mollie,Santa Barbara,93108,34.4213978,-119.6423909,3.5,204,0,"Food, Restaurants, Desserts, Wine Bars, Bars, Italian, Nightlife"
Qkg16mN-8QR66gjzg6gMyw,Convivo Restaurant and Bar,Santa Barbara,93103,34.417321,-119.672226,4,445,1,"Bars, Mediterranean, Restaurants, Nightlife, Moroccan, Event Planning & Services, Venues & Event Spaces, Italian"
HrnSaz2f1WUEoAQQ6iD6gw,Lemon Tree Inn,Santa Barbara,93105,34.43822593,-119.7250354,2.5,270,1,"Restaurants, Nightlife, Hotels & Travel, Hotels, Italian, Event Planning & Services"
